Fecha,Ciudad,Nombre,Precio Real,Precio Actual,Promocion,url,ean,Unidad de Medida,Cantidad,Marca,Compañia,Categoria,Descripcion
23-01,Medellin,Yogurt Finesse Mora Botella 1000 ml,15000,15000,FALSE,https://alpina.com/yogurt-finesse-mora-botella-1000-ml,7702001155231,Mililitro,"12,6",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Mora Botella 1000ml Botella X 1000ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Bebida Finesse con Marañón Caja 1000 ml,14000,14000,FALSE,https://alpina.com/bebida-finesse-con-mara-on-caja-1000-ml,7702001157266,Mililitro,"11,8",Finesse,Alpina,Línea Origen Vegetal,"¡Alpina te trae lo mejor de Origen Vegetal! Para que lo disfrutes en tu día a día. Sin azúcar añadido, Bebida Finesse con Marañón hará que en tus día a día puedas decir #NORenuncio a cuidarme.
Alpina Origen Vegetal, Bebida Finesse con Marañón, aporta calcio, vitamina A, vitamina D3."
23-01,Medellin,Yogurt Finesse Natural Botella 1000 ml,15000,15000,FALSE,https://alpina.com/yogurt-finesse-natural-botella-1000-ml,7702001155200,Mililitro,"12,6",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Natural Botella 1000ml Botella X 1000ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Queso Finesse 30 Tajadas 450 g,25500,25500,FALSE,https://alpina.com/queso-finesse-30-tajadas-450-g,7702001121786,Gramo,"56,7",Finesse,Alpina,Quesos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Mora Vaso 180 g,3200,3200,FALSE,https://alpina.com/yogurt-finesse-mora-vaso-180-g,7702001155163,Gramo,"14,9",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Mora Vaso 180g Vaso X 180ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Yogurt Finesse Sabor Natural 180 g,3200,3200,FALSE,https://alpina.com/yogurt-finesse-sabor-natural-180-g,7702001155132,Gramo,"14,9",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Natural Vaso 180g Vaso X 180ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Avena Finesse x4 Und Vaso 250 g,14600,14600,FALSE,https://alpina.com/avena-finesse-x4-und-vaso-250-g,7702001101481,Gramo,"12,3",Finesse,Alpina,Avena Finesse,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Fresa Botella 1000 ml,15000,15000,FALSE,https://alpina.com/yogurt-finesse-fresa-botella-1000-ml,7702001155217,Mililitro,"12,6",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Fresa Botella 1000ml Botella X 1000ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Crema de Leche Finesse Caja 200 ml,5700,5700,FALSE,https://alpina.com/crema-de-leche-finesse-caja-200-ml,7702001072026,Mililitro,"28,5",Finesse,Alpina,Cocinemos Juntos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Fresa Botella 1700 ml,22501,22501,FALSE,https://alpina.com/yogurt-finesse-fresa-botella-1700-ml,7702001155255,Mililitro,"11,1",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Fresa Botella 1700ml Botella X 1700ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
